"Country" "Year" "Value"
"Venezuela (Bolivarian Republic of)" 2011 99000
"Viet Nam" 2001 110000
"Viet Nam" 2006 210000
"Zambia" 2001 860000
"Zambia" 2006 920000
"Zambia" 2011 970000
"Zimbabwe" 2011 1200000
"Zimbabwe" 2006 1400000
"Algeria" 2006 0
"Algeria" 2011 0
"Angola" 2001 130000
"Angola" 2006 180000
"Armenia" 2001 3500
"Armenia" 2011 3600
"Armenia" 2006 3800
"Australia" 2001 13000
"Australia" 2006 17000
"Azerbaijan" 2001 3000
"Azerbaijan" 2006 5100
"Azerbaijan" 2011 6700
"Bahamas" 2006 6400
"Bangladesh" 2011 7700
"Barbados" 2001 1200
"Barbados" 2006 1300
"Barbados" 2011 1400
"Belgium" 2006 15000
"Belgium" 2011 20000
"Belize" 2001 3400
"Belize" 2006 4100
"Belize" 2011 4600
"Bhutan" 2001 NA
"Bhutan" 2006 NA
"Bolivia (Plurinational State of)" 2011 17000
"Bolivia (Plurinational State of)" 2006 21000
"Brazil" 2001 450000
"Brazil" 2006 480000
"Brazil" 2011 490000
"Bulgaria" 2001 1700
"Burkina Faso" 2001 150000
"Burundi" 2006 100000
"Burundi" 2001 130000
"Burundi" 2011 80000
"Cambodia" 2011 64000
"Cameroon" 2011 550000
"Canada" 2001 48000
"Canada" 2006 59000
"Canada" 2011 71000
"Central African Republic" 2006 150000
"Central African Republic" 2001 170000
"Chad" 2001 170000
"Chad" 2006 190000
"China" 2006 NA
"China" 2011 780000
"Colombia" 2001 130000
"Colombia" 2006 150000
"Congo" 2001 74000
"Congo" 2006 75000
"Congo" 2011 83000
"Costa Rica" 2001 5000
"C?te d'Ivoire" 2001 560000
"Croatia" 2011 1200
"Croatia" 2001 NA
"Croatia" 2006 NA
"Czech Republic" 2011 2100
"Democratic People's Republic of Korea" 2001 NA
"Democratic People's Republic of Korea" 2006 NA
"Democratic People's Republic of Korea" 2011 NA
"Denmark" 2006 4800
"Denmark" 2011 6100
"Djibouti" 2011 9200
"Djibouti" 2006 11000
"Ecuador" 2001 32000
"Ecuador" 2006 35000
"Ecuador" 2011 35000
"Egypt" 2006 8100
"Equatorial Guinea" 2001 7900
"Equatorial Guinea" 2006 13000
"Equatorial Guinea" 2011 20000
"Eritrea" 2001 23000
"Estonia" 2011 9900
"Ethiopia" 2006 1100000
"Ethiopia" 2001 1300000
"Ethiopia" 2011 790000
"Finland" 2006 2300
"Finland" 2011 2900
"France" 2001 120000
"France" 2006 140000
"France" 2011 160000
"Gambia" 2006 11000
"Gambia" 2011 14000
"Georgia" 2001 1100
"Georgia" 2006 2400
"Ghana" 2011 230000
"Ghana" 2001 250000
"Ghana" 2006 250000
"Greece" 2001 8500
"Guatemala" 2011 65000
"Guinea" 2001 72000
"Guinea" 2006 81000
"Guinea" 2011 85000
"Guinea-Bissau" 2001 9800
"Guyana" 2001 8900
"Haiti" 2006 120000
"Haiti" 2011 120000
"Haiti" 2001 130000
"Hungary" 2006 3500
"Hungary" 2011 4100
"Iceland" 2011 NA
"Iceland" 2001 NA
"Indonesia" 2006 180000
"Indonesia" 2011 380000
"Iran (Islamic Republic of)" 2001 56000
"Iran (Islamic Republic of)" 2006 78000
"Israel" 2001 5500
"Israel" 2006 7000
"Israel" 2011 8500
"Italy" 2001 130000
"Jamaica" 2001 36000
"Japan" 2001 6200
"Japan" 2006 7000
"Japan" 2011 7900
"Kenya" 2011 1600000
"Kyrgyzstan" 2006 3200
"Kyrgyzstan" 2001 NA
"Kyrgyzstan" 2011 12000
"Latvia" 2006 8300
"Latvia" 2011 9100
"Lebanon" 2001 1500
"Lebanon" 2006 2300
"Liberia" 2011 25000
"Liberia" 2006 35000
"Liberia" 2001 39000
"Lithuania" 2006 1300
"Madagascar" 2001 22000
"Madagascar" 2006 28000
"Madagascar" 2011 34000
"Malawi" 2001 860000
"Malaysia" 2011 81000
"Maldives" 2001 NA
"Maldives" 2006 NA
"Maldives" 2011 NA
"Malta" 2006 NA
"Malta" 2011 NA
"Mauritania" 2001 10000
"Mauritania" 2006 15000
"Mauritania" 2011 24000
